COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
17021,0.059,0.057,0.091,0.19,0.603
17023,0.127,0.089,0.107,0.226,0.451
17025,0.062,0.115,0.145,0.306,0.372
17027,0.102,0.063,0.083,0.166,0.587
17029,0.112,0.055,0.201,0.221,0.411
17031,0.023,0.021,0.072,0.162,0.722
17033,0.146,0.196,0.047,0.219,0.392
17035,0.095,0.075,0.194,0.212,0.424
17037,0.007,0.012,0.034,0.191,0.756
17039,0.035,0.106,0.073,0.28,0.507
17041,0.048,0.061,0.105,0.191,0.594
17043,0.01,0.01,0.056,0.163,0.76
17045,0.174,0.09,0.131,0.208,0.398
17047,0.086,0.148,0.233,0.306,0.228
17049,0.072,0.072,0.214,0.232,0.41
17051,0.069,0.076,0.156,0.229,0.47
17053,0.011,0.082,0.167,0.172,0.567
17055,0.099,0.166,0.119,0.211,0.405
17057,0.016,0.03,0.311,0.199,0.444
17059,0.201,0.06,0.128,0.238,0.373
17061,0.136,0.029,0.109,0.217,0.508
17063,0.056,0.056,0.105,0.183,0.599
17065,0.138,0.179,0.1,0.21,0.373
17067,0.147,0.154,0.125,0.163,0.411
17069,0.163,0.072,0.235,0.191,0.34
17071,0.096,0.044,0.101,0.155,0.604
17073,0.067,0.072,0.061,0.203,0.597
17075,0.097,0.168,0.069,0.242,0.424
17077,0.066,0.078,0.151,0.209,0.496
17079,0.099,0.135,0.131,0.254,0.38
17081,0.122,0.126,0.08,0.279,0.393
17083,0.074,0.079,0.124,0.185,0.537
17085,0.034,0.104,0.22,0.178,0.465
17087,0.124,0.05,0.189,0.141,0.496
17089,0.013,0.026,0.048,0.165,0.748
17091,0.044,0.084,0.096,0.249,0.527
17093,0.001,0.009,0.065,0.136,0.788
17095,0.035,0.031,0.194,0.246,0.494
17097,0.02,0.018,0.046,0.146,0.769
17099,0.018,0.046,0.113,0.267,0.556
17101,0.197,0.157,0.105,0.281,0.26
17103,0.013,0.054,0.058,0.224,0.65
17105,0.03,0.147,0.08,0.234,0.51
17107,0.046,0.045,0.23,0.128,0.551
17109,0.041,0.091,0.097,0.182,0.59
17111,0.03,0.012,0.066,0.176,0.716
17113,0.085,0.062,0.091,0.201,0.561
17115,0.016,0.062,0.088,0.286,0.549
17117,0.015,0.05,0.147,0.227,0.561
17119,0.035,0.045,0.083,0.189,0.648
17121,0.1,0.093,0.101,0.302,0.404
17123,0.048,0.083,0.133,0.198,0.538
17125,0.238,0.031,0.292,0.126,0.313
17127,0.097,0.043,0.232,0.256,0.373
17129,0.102,0.047,0.138,0.172,0.54
17131,0.039,0.066,0.11,0.215,0.571
17133,0.003,0.04,0.112,0.174,0.67
17135,0.018,0.05,0.091,0.316,0.525
17137,0.05,0.062,0.177,0.178,0.533
17139,0.081,0.073,0.213,0.243,0.39
17141,0.053,0.045,0.129,0.184,0.589
17143,0.039,0.036,0.096,0.251,0.577
17145,0.055,0.092,0.104,0.358,0.392
17147,0.003,0.052,0.06,0.198,0.688
17149,0.138,0.079,0.218,0.205,0.36
17151,0.104,0.054,0.213,0.214,0.415
17153,0.117,0.064,0.189,0.225,0.405
17155,0.021,0.025,0.168,0.251,0.535
17157,0.008,0.032,0.117,0.391,0.452
17159,0.111,0.151,0.107,0.3,0.331
17161,0.078,0.025,0.066,0.235,0.596
17163,0.032,0.027,0.037,0.138,0.767
17165,0.117,0.106,0.111,0.204,0.462
17167,0.017,0.03,0.155,0.233,0.564
17169,0.132,0.1,0.152,0.198,0.417
17171,0.113,0.057,0.148,0.162,0.52
17173,0.07,0.047,0.168,0.245,0.469
17175,0.013,0.101,0.058,0.155,0.672
17177,0.036,0.059,0.041,0.222,0.644
17179,0.044,0.04,0.141,0.215,0.56
17181,0.1,0.078,0.162,0.195,0.466
17183,0.023,0.119,0.088,0.266,0.504
17185,0.078,0.113,0.271,0.325,0.212
17187,0.042,0.02,0.141,0.276,0.522
17189,0.118,0.046,0.053,0.327,0.456
17191,0.086,0.142,0.128,0.3,0.345
17193,0.19,0.144,0.095,0.239,0.332
17195,0.025,0.066,0.042,0.218,0.649
17197,0.041,0.024,0.062,0.134,0.739
17199,0.095,0.122,0.136,0.183,0.464
17201,0.031,0.03,0.089,0.193,0.657
17203,0.062,0.067,0.112,0.242,0.517
18001,0.136,0.047,0.16,0.348,0.309
18003,0.07,0.14,0.099,0.228,0.464
18005,0.138,0.084,0.085,0.286,0.406
18007,0.082,0.126,0.112,0.183,0.496
18009,0.093,0.152,0.106,0.203,0.447
18011,0.052,0.085,0.142,0.308,0.413
18013,0.055,0.061,0.041,0.184,0.66
18015,0.059,0.104,0.17,0.22,0.447
18017,0.037,0.192,0.283,0.206,0.283
18019,0.068,0.06,0.141,0.228,0.501
18021,0.122,0.073,0.112,0.226,0.466
18023,0.088,0.033,0.132,0.285,0.462
18025,0.067,0.089,0.118,0.261,0.465
18027,0.049,0.061,0.13,0.214,0.546
18029,0.083,0.1,0.168,0.277,0.371
18031,0.175,0.083,0.101,0.204,0.437
18033,0.109,0.074,0.118,0.149,0.55
18035,0.095,0.109,0.124,0.197,0.475
18037,0.01,0.105,0.086,0.25,0.55
18039,0.03,0.097,0.094,0.252,0.528
18041,0.161,0.041,0.048,0.237,0.514
18043,0.053,0.086,0.154,0.233,0.474
18045,0.077,0.089,0.147,0.212,0.474
18047,0.07,0.082,0.104,0.199,0.545
18049,0.142,0.114,0.128,0.217,0.399
18051,0.09,0.1,0.204,0.255,0.351
18053,0.053,0.108,0.133,0.311,0.393
18055,0.099,0.027,0.081,0.235,0.558
18057,0.07,0.051,0.049,0.234,0.596
18059,0.068,0.04,0.166,0.306,0.42
18061,0.094,0.084,0.205,0.258,0.359
18063,0.054,0.052,0.113,0.257,0.523
18065,0.183,0.148,0.125,0.111,0.434
18067,0.008,0.083,0.183,0.301,0.426
18069,0.15,0.182,0.053,0.199,0.416
18071,0.097,0.098,0.105,0.388,0.312
18073,0.186,0.1,0.065,0.328,0.321
18075,0.141,0.139,0.157,0.235,0.328
18077,0.083,0.219,0.218,0.225,0.255
18079,0.095,0.105,0.172,0.308,0.319
18081,0.057,0.094,0.1,0.192,0.557
18083,0.158,0.125,0.121,0.259,0.338
18085,0.073,0.147,0.089,0.195,0.496
18087,0.059,0.082,0.171,0.236,0.452
18089,0.043,0.057,0.088,0.219,0.592
18091,0.084,0.075,0.168,0.206,0.466
18093,0.092,0.117,0.109,0.191,0.491
18095,0.062,0.084,0.15,0.145,0.559
18097,0.051,0.053,0.116,0.232,0.548
18099,0.12,0.103,0.159,0.229,0.389
18101,0.041,0.064,0.123,0.223,0.55
18103,0.054,0.125,0.253,0.226,0.343
18105,0.037,0.037,0.094,0.242,0.591
18107,0.07,0.116,0.168,0.156,0.49
18109,0.06,0.131,0.136,0.188,0.485
18111,0.102,0.153,0.092,0.338,0.316
18113,0.057,0.11,0.135,0.197,0.5
18115,0.06,0.078,0.18,0.223,0.459
18117,0.096,0.086,0.073,0.315,0.43
18119,0.094,0.038,0.087,0.282,0.5
18121,0.116,0.111,0.174,0.195,0.405
18123,0.01,0.109,0.087,0.252,0.542
18125,0.052,0.089,0.163,0.2,0.495
18127,0.05,0.1,0.108,0.231,0.512
18129,0.132,0.056,0.115,0.226,0.472
18131,0.135,0.219,0.171,0.253,0.223
18133,0.075,0.162,0.204,0.194,0.366
18135,0.128,0.13,0.228,0.179,0.336
18137,0.054,0.074,0.15,0.294,0.429
18139,0.133,0.118,0.063,0.279,0.408
18141,0.031,0.04,0.102,0.228,0.598
18143,0.036,0.073,0.168,0.263,0.46
18145,0.16,0.057,0.177,0.193,0.413
18147,0.017,0.134,0.104,0.216,0.529
18149,0.177,0.151,0.088,0.219,0.365
18151,0.04,0.089,0.17,0.169,0.532
18153,0.127,0.071,0.077,0.207,0.517
18155,0.089,0.125,0.209,0.234,0.344
18157,0.093,0.083,0.102,0.204,0.518
18159,0.033,0.082,0.089,0.444,0.352
18161,0.095,0.053,0.106,0.178,0.569
18163,0.07,0.039,0.115,0.234,0.542
18165,0.113,0.105,0.134,0.223,0.426
18167,0.118,0.064,0.102,0.25,0.466
18169,0.07,0.11,0.237,0.202,0.381
18171,0.079,0.115,0.092,0.223,0.492
18173,0.045,0.038,0.117,0.252,0.548
18175,0.097,0.074,0.062,0.356,0.411
18177,0.162,0.09,0.138,0.261,0.348
18179,0.205,0.05,0.077,0.337,0.332
18181,0.056,0.177,0.194,0.189,0.384
18183,0.061,0.186,0.132,0.16,0.46
19001,0.073,0.128,0.128,0.307,0.364
19003,0.148,0.11,0.15,0.311,0.281
19005,0.138,0.049,0.132,0.212,0.469
19007,0.044,0.11,0.239,0.193,0.413
19009,0.224,0.073,0.194,0.187,0.322
19011,0.098,0.067,0.13,0.2,0.504
19013,0.032,0.053,0.18,0.289,0.447
19015,0.09,0.08,0.1,0.197,0.533
19017,0.048,0.062,0.197,0.268,0.424
19019,0.021,0.124,0.087,0.394,0.373
19021,0.183,0.062,0.26,0.207,0.288
19023,0.052,0.094,0.208,0.23,0.417
19025,0.212,0.117,0.213,0.153,0.304
19027,0.153,0.11,0.241,0.139,0.358
19029,0.341,0.07,0.124,0.238,0.227
19031,0.026,0.096,0.142,0.355,0.381
19033,0.061,0.365,0.146,0.213,0.215
19035,0.183,0.105,0.221,0.182,0.309
19037,0.075,0.136,0.197,0.236,0.356
19039,0.078,0.167,0.143,0.194,0.418
19041,0.224,0.035,0.112,0.189,0.441
19043,0.123,0.084,0.137,0.284,0.371
19045,0.092,0.13,0.079,0.269,0.43
19047,0.089,0.045,0.141,0.064,0.66
19049,0.036,0.102,0.118,0.26,0.485
19051,0.038,0.101,0.249,0.201,0.411
19053,0.248,0.132,0.258,0.068,0.294
19055,0.035,0.137,0.137,0.408,0.283
19057,0.135,0.081,0.109,0.122,0.553
19059,0.276,0.027,0.091,0.173,0.433
19061,0.037,0.155,0.189,0.189,0.43
19063,0.241,0.083,0.067,0.181,0.428
19065,0.054,0.075,0.128,0.349,0.394
19067,0.063,0.271,0.148,0.25,0.268
19069,0.088,0.278,0.187,0.186,0.261
19071,0.048,0.061,0.071,0.209,0.611
19073,0.116,0.141,0.235,0.153,0.354
19075,0.038,0.042,0.203,0.238,0.48
19077,0.162,0.073,0.143,0.283,0.34
19079,0.143,0.118,0.129,0.153,0.457
19081,0.08,0.384,0.146,0.174,0.216
19083,0.074,0.075,0.195,0.214,0.441
19085,0.118,0.044,0.094,0.178,0.565
19087,0.123,0.142,0.091,0.183,0.461
19089,0.077,0.151,0.176,0.183,0.413
19091,0.243,0.268,0.147,0.102,0.24
19093,0.153,0.094,0.246,0.128,0.38
19095,0.027,0.149,0.135,0.239,0.45
19097,0.032,0.096,0.229,0.232,0.411
19099,0.102,0.105,0.233,0.212,0.347
19101,0.074,0.116,0.221,0.191,0.398
19103,0.014,0.044,0.069,0.2,0.673
19105,0.04,0.105,0.165,0.336,0.355
19107,0.035,0.126,0.287,0.28,0.272
19109,0.135,0.318,0.101,0.173,0.272
19111,0.17,0.146,0.131,0.161,0.392
19113,0.039,0.081,0.115,0.201,0.563
19115,0.097,0.058,0.15,0.214,0.482
19117,0.032,0.204,0.196,0.185,0.384
19119,0.078,0.173,0.157,0.247,0.344
19121,0.01,0.102,0.136,0.268,0.484
19123,0.069,0.067,0.294,0.283,0.287
19125,0.053,0.049,0.209,0.26,0.429
19127,0.077,0.064,0.153,0.226,0.48
19129,0.064,0.084,0.091,0.281,0.481
19131,0.046,0.282,0.149,0.26,0.263
19133,0.078,0.069,0.087,0.127,0.64
19135,0.034,0.078,0.256,0.247,0.385
19137,0.218,0.034,0.084,0.378,0.286
19139,0.12,0.022,0.221,0.273,0.364
19141,0.173,0.054,0.267,0.187,0.319
19143,0.195,0.051,0.233,0.199,0.322
19145,0.088,0.053,0.068,0.31,0.481
19147,0.199,0.116,0.088,0.179,0.419
19149,0.125,0.145,0.166,0.162,0.402
19151,0.214,0.124,0.162,0.165,0.335
19153,0.044,0.089,0.136,0.259,0.473
19155,0.115,0.083,0.147,0.264,0.39
19157,0.121,0.145,0.187,0.164,0.383
19159,0.144,0.138,0.281,0.162,0.275
19161,0.18,0.071,0.286,0.159,0.303
19163,0.075,0.027,0.126,0.277,0.494
19165,0.099,0.059,0.182,0.145,0.516
19167,0.12,0.06,0.285,0.2,0.335
19169,0.045,0.075,0.071,0.235,0.574
19171,0.066,0.053,0.209,0.181,0.491
19173,0.09,0.151,0.185,0.282,0.292
19175,0.03,0.125,0.172,0.21,0.462
19177,0.107,0.128,0.175,0.218,0.372
19179,0.034,0.082,0.293,0.221,0.37
19181,0.055,0.182,0.181,0.245,0.337
19183,0.035,0.102,0.123,0.151,0.589
19185,0.138,0.148,0.252,0.12,0.342
19187,0.209,0.167,0.161,0.101,0.362
19189,0.07,0.329,0.176,0.197,0.228
19191,0.122,0.044,0.151,0.177,0.505
19193,0.113,0.165,0.137,0.16,0.425
19195,0.072,0.271,0.175,0.231,0.251
19197,0.172,0.299,0.173,0.125,0.232
20001,0.153,0.212,0.126,0.167,0.341
20003,0.189,0.063,0.137,0.267,0.344
20005,0.137,0.122,0.169,0.256,0.316
20007,0.069,0.147,0.118,0.329,0.336
20009,0.107,0.131,0.12,0.211,0.43
20011,0.167,0.146,0.077,0.12,0.49
20013,0.089,0.149,0.183,0.197,0.382
20015,0.053,0.133,0.122,0.222,0.47
20017,0.151,0.082,0.212,0.225,0.331
20019,0.128,0.137,0.185,0.214,0.337
20021,0.131,0.121,0.164,0.174,0.41
20023,0.065,0.27,0.174,0.235,0.256
20025,0.163,0.13,0.126,0.232,0.348
20027,0.081,0.069,0.115,0.229,0.507
20029,0.154,0.077,0.118,0.217,0.434
20031,0.085,0.119,0.165,0.404,0.227
20033,0.112,0.144,0.128,0.271,0.346
20035,0.075,0.093,0.28,0.131,0.421
20037,0.108,0.143,0.118,0.139,0.492
20039,0.163,0.118,0.211,0.235,0.273
20041,0.106,0.118,0.148,0.243,0.385
20043,0.137,0.193,0.184,0.214,0.272
20045,0.006,0.009,0.024,0.227,0.734
20047,0.052,0.086,0.135,0.221,0.506
20049,0.061,0.05,0.295,0.282,0.312
20051,0.154,0.154,0.224,0.148,0.32
20053,0.174,0.133,0.133,0.187,0.373
20055,0.166,0.089,0.163,0.239,0.343
20057,0.143,0.084,0.143,0.232,0.399
20059,0.063,0.06,0.159,0.354,0.364
20061,0.05,0.068,0.113,0.27,0.499
20063,0.24,0.089,0.234,0.151,0.287
20065,0.218,0.156,0.247,0.129,0.25
20067,0.14,0.108,0.15,0.231,0.37
20069,0.158,0.092,0.146,0.24,0.364
20071,0.135,0.131,0.181,0.229,0.323
20073,0.034,0.079,0.256,0.302,0.33
20075,0.131,0.095,0.189,0.217,0.368
20077,0.079,0.118,0.21,0.193,0.4
20079,0.075,0.058,0.121,0.323,0.423
20081,0.153,0.107,0.137,0.239,0.364
20083,0.126,0.075,0.163,0.225,0.412
20085,0.01,0.116,0.161,0.136,0.577
20087,0.026,0.069,0.09,0.182,0.634
20089,0.171,0.142,0.087,0.259,0.34
20091,0.029,0.019,0.075,0.224,0.654
20093,0.155,0.098,0.172,0.229,0.346
20095,0.081,0.212,0.114,0.128,0.464
20097,0.062,0.107,0.128,0.233,0.469
20099,0.168,0.123,0.091,0.147,0.471
20101,0.197,0.075,0.197,0.204,0.326
20103,0.087,0.135,0.092,0.142,0.544
20105,0.171,0.132,0.16,0.163,0.375
20107,0.14,0.053,0.121,0.285,0.4
20109,0.206,0.131,0.194,0.189,0.28
20111,0.113,0.111,0.133,0.3,0.344
20113,0.12,0.065,0.106,0.313,0.396
20115,0.101,0.068,0.209,0.279,0.343
20117,0.048,0.049,0.233,0.263,0.407
20119,0.164,0.123,0.115,0.235,0.362
20121,0.071,0.044,0.095,0.25,0.54
20123,0.173,0.116,0.144,0.18,0.388
20125,0.164,0.132,0.102,0.195,0.407
20127,0.11,0.094,0.148,0.244,0.404
20129,0.12,0.113,0.144,0.218,0.405
20131,0.035,0.094,0.203,0.236,0.432
20133,0.133,0.204,0.12,0.127,0.416
20135,0.15,0.083,0.199,0.198,0.371
20137,0.161,0.163,0.177,0.225,0.275
20139,0.018,0.09,0.088,0.24,0.564
20141,0.174,0.233,0.163,0.136,0.293
20143,0.131,0.117,0.164,0.191,0.396
20145,0.053,0.096,0.137,0.217,0.497
20147,0.15,0.244,0.126,0.19,0.29
20149,0.012,0.057,0.145,0.236,0.55
20151,0.02,0.183,0.101,0.309,0.387
20153,0.128,0.174,0.209,0.22,0.268
20155,0.135,0.077,0.143,0.191,0.454
20157,0.183,0.073,0.076,0.295,0.373
20159,0.153,0.086,0.11,0.241,0.41
20161,0.03,0.05,0.124,0.261,0.535
20163,0.179,0.22,0.218,0.123,0.26
20165,0.11,0.122,0.182,0.183,0.403
20167,0.16,0.174,0.174,0.157,0.335
20169,0.126,0.133,0.175,0.209,0.357
20171,0.197,0.09,0.19,0.21,0.313
20173,0.06,0.055,0.126,0.26,0.499
20175,0.138,0.14,0.092,0.226,0.403
20177,0.009,0.078,0.095,0.184,0.633
20179,0.231,0.112,0.236,0.154,0.267
20181,0.1,0.27,0.159,0.24,0.231
20183,0.142,0.257,0.088,0.195,0.319
20185,0.041,0.125,0.109,0.252,0.472
20187,0.127,0.098,0.172,0.216,0.388
20189,0.122,0.132,0.112,0.225,0.408
20191,0.104,0.039,0.115,0.298,0.444
20193,0.188,0.157,0.208,0.184,0.263
20195,0.203,0.115,0.256,0.137,0.291
20197,0.011,0.077,0.12,0.201,0.591
20199,0.128,0.21,0.154,0.246,0.262
20201,0.148,0.075,0.111,0.234,0.432
20203,0.173,0.112,0.184,0.219,0.313
20205,0.125,0.148,0.145,0.184,0.398
20207,0.092,0.175,0.171,0.247,0.314
20209,0.025,0.056,0.076,0.178,0.665
21001,0.076,0.115,0.167,0.243,0.399
21003,0.101,0.072,0.097,0.211,0.519
21005,0.062,0.01,0.044,0.483,0.401
21007,0.107,0.033,0.198,0.257,0.404
21009,0.053,0.093,0.09,0.176,0.588
21011,0.076,0.058,0.084,0.339,0.443
21013,0.146,0.094,0.12,0.199,0.44
21015,0.08,0.087,0.081,0.232,0.52
21017,0.024,0.037,0.042,0.129,0.769
21019,0.084,0.125,0.202,0.235,0.354
21021,0.092,0.037,0.112,0.161,0.598
21023,0.056,0.249,0.065,0.238,0.392
21025,0.114,0.081,0.126,0.241,0.438
21027,0.023,0.146,0.177,0.138,0.517
21029,0.037,0.091,0.156,0.181,0.535
21031,0.066,0.097,0.133,0.17,0.535
21033,0.059,0.067,0.26,0.177,0.438
21035,0.066,0.084,0.248,0.17,0.432
21037,0.073,0.085,0.134,0.278,0.43
21039,0.104,0.045,0.188,0.236,0.428
21041,0.155,0.171,0.12,0.208,0.346
21043,0.069,0.102,0.122,0.324,0.383
21045,0.164,0.076,0.161,0.154,0.444
21047,0.06,0.118,0.178,0.279,0.365
21049,0.083,0.093,0.11,0.233,0.48
21051,0.153,0.082,0.165,0.16,0.44
21053,0.096,0.115,0.248,0.165,0.375
21055,0.121,0.117,0.29,0.153,0.319
21057,0.067,0.106,0.224,0.229,0.374
21059,0.055,0.057,0.122,0.236,0.531
21061,0.055,0.057,0.086,0.179,0.624
21063,0.117,0.1,0.051,0.289,0.443
21065,0.082,0.151,0.09,0.275,0.402
21067,0.031,0.051,0.066,0.202,0.65
21069,0.068,0.069,0.075,0.287,0.502
21071,0.131,0.066,0.129,0.134,0.54
21073,0.088,0.036,0.142,0.214,0.521
21075,0.1,0.102,0.202,0.217,0.38
21077,0.076,0.048,0.198,0.211,0.466
21079,0.077,0.043,0.063,0.276,0.54
21081,0.047,0.056,0.183,0.106,0.608
21083,0.103,0.069,0.266,0.222,0.34
21085,0.043,0.042,0.134,0.154,0.627
21087,0.063,0.076,0.127,0.247,0.488
21089,0.092,0.101,0.236,0.228,0.342
21091,0.019,0.08,0.121,0.235,0.546
21093,0.057,0.062,0.106,0.217,0.558
21095,0.076,0.093,0.098,0.126,0.606
21097,0.073,0.044,0.031,0.047,0.804
21099,0.053,0.034,0.118,0.185,0.61
21101,0.072,0.061,0.136,0.229,0.501
21103,0.093,0.082,0.174,0.254,0.398
21105,0.097,0.065,0.221,0.202,0.415
21107,0.04,0.067,0.174,0.217,0.502
21109,0.183,0.068,0.092,0.235,0.421
21111,0.036,0.048,0.083,0.23,0.602
21113,0.022,0.036,0.104,0.21,0.628
21115,0.102,0.053,0.106,0.127,0.612
21117,0.052,0.056,0.146,0.245,0.5
21119,0.157,0.073,0.13,0.142,0.497
21121,0.187,0.073,0.103,0.165,0.471
21123,0.074,0.053,0.09,0.213,0.57
21125,0.201,0.047,0.083,0.152,0.517
21127,0.155,0.091,0.151,0.125,0.479
21129,0.129,0.069,0.129,0.273,0.399
21131,0.094,0.103,0.142,0.174,0.487
21133,0.078,0.05,0.127,0.122,0.624
21135,0.057,0.081,0.21,0.296,0.357
21137,0.172,0.054,0.093,0.172,0.509
21139,0.08,0.1,0.29,0.191,0.339
21141,0.099,0.1,0.08,0.198,0.523
21143,0.052,0.11,0.316,0.138,0.384
21145,0.085,0.058,0.232,0.255,0.37
21147,0.096,0.116,0.143,0.203,0.441
21149,0.081,0.105,0.107,0.249,0.459
21151,0.088,0.094,0.114,0.233,0.471
21153,0.107,0.078,0.111,0.164,0.54
21155,0.046,0.082,0.074,0.144,0.654
21157,0.061,0.083,0.28,0.18,0.395
21159,0.108,0.055,0.096,0.104,0.637
21161,0.056,0.119,0.061,0.284,0.479
21163,0.018,0.154,0.115,0.154,0.559
21165,0.161,0.088,0.067,0.215,0.468
21167,0.047,0.012,0.178,0.195,0.567
21169,0.048,0.109,0.134,0.222,0.487
21171,0.082,0.134,0.185,0.15,0.448
21173,0.03,0.041,0.085,0.392,0.452
21175,0.133,0.116,0.071,0.182,0.498
21177,0.035,0.154,0.123,0.2,0.488
21179,0.033,0.106,0.068,0.244,0.548
21181,0.023,0.025,0.09,0.271,0.591
21183,0.064,0.145,0.109,0.19,0.492
21185,0.025,0.039,0.098,0.278,0.56
21187,0.091,0.039,0.114,0.198,0.558
21189,0.121,0.058,0.157,0.282,0.382
21191,0.035,0.121,0.103,0.129,0.613
21193,0.123,0.093,0.111,0.171,0.502
21195,0.096,0.088,0.123,0.148,0.545
21197,0.112,0.099,0.102,0.232,0.455
21199,0.13,0.123,0.096,0.164,0.487
21201,0.048,0.123,0.039,0.204,0.586
21203,0.215,0.079,0.075,0.157,0.474
21205,0.159,0.097,0.047,0.231,0.467
21207,0.096,0.138,0.195,0.206,0.365
21209,0.04,0.044,0.076,0.081,0.759
21211,0.092,0.107,0.054,0.261,0.487
21213,0.137,0.066,0.162,0.208,0.426
21215,0.032,0.058,0.047,0.41,0.453
21217,0.073,0.073,0.111,0.21,0.533
21219,0.058,0.147,0.135,0.266,0.394
21221,0.066,0.053,0.131,0.152,0.597
21223,0.134,0.172,0.135,0.217,0.342
21225,0.211,0.079,0.229,0.172,0.309
21227,0.076,0.067,0.063,0.185,0.609
21229,0.035,0.066,0.116,0.221,0.562
21231,0.102,0.151,0.16,0.169,0.417
21233,0.088,0.084,0.167,0.21,0.451
21235,0.176,0.062,0.113,0.174,0.476
21237,0.14,0.095,0.114,0.203,0.448
21239,0.042,0.017,0.049,0.193,0.698
22001,0.122,0.111,0.138,0.265,0.362
22003,0.196,0.07,0.118,0.2,0.416
22005,0.049,0.092,0.142,0.148,0.569
22007,0.079,0.034,0.213,0.206,0.468
22009,0.13,0.092,0.073,0.246,0.459
22011,0.086,0.069,0.169,0.191,0.486
22013,0.078,0.052,0.17,0.291,0.409
22015,0.068,0.096,0.144,0.225,0.468
22017,0.058,0.079,0.158,0.209,0.497
22019,0.102,0.139,0.077,0.212,0.471
22021,0.102,0.061,0.098,0.241,0.498
22023,0.089,0.127,0.079,0.201,0.505
22025,0.11,0.056,0.086,0.147,0.6
22027,0.146,0.068,0.04,0.273,0.473
22029,0.11,0.104,0.112,0.095,0.579
22031,0.035,0.075,0.132,0.162,0.596
22033,0.052,0.031,0.09,0.183,0.642
22035,0.022,0.046,0.121,0.137,0.674
22037,0.067,0.053,0.095,0.366,0.42
22039,0.215,0.077,0.111,0.211,0.387
22041,0.123,0.054,0.102,0.156,0.565
22043,0.086,0.041,0.109,0.229,0.535
22045,0.112,0.084,0.085,0.253,0.467
22047,0.061,0.021,0.084,0.19,0.644
22049,0.116,0.083,0.127,0.29,0.383
22051,0.044,0.031,0.066,0.174,0.685
22053,0.249,0.111,0.09,0.196,0.354
22055,0.062,0.083,0.105,0.217,0.533
22057,0.078,0.039,0.159,0.151,0.573
22059,0.082,0.035,0.089,0.223,0.571
22061,0.102,0.08,0.111,0.29,0.417
22063,0.06,0.043,0.144,0.29,0.463
22065,0.034,0.068,0.109,0.172,0.617
22067,0.039,0.105,0.124,0.166,0.566
22069,0.096,0.063,0.113,0.167,0.561
22071,0.019,0.034,0.087,0.206,0.654
22073,0.076,0.098,0.121,0.229,0.476
22075,0.065,0.035,0.165,0.222,0.513
22077,0.044,0.082,0.068,0.198,0.608
22079,0.106,0.046,0.087,0.236,0.524
22081,0.068,0.081,0.135,0.189,0.527
22083,0.066,0.08,0.126,0.194,0.534
22085,0.098,0.08,0.113,0.145,0.564
22087,0.035,0.075,0.136,0.23,0.524
22089,0.093,0.048,0.027,0.165,0.667
22091,0.064,0.126,0.138,0.237,0.434
22093,0.034,0.099,0.202,0.061,0.603
22095,0.096,0.059,0.19,0.079,0.577
22097,0.064,0.105,0.117,0.199,0.515
22099,0.069,0.11,0.096,0.178,0.548
22101,0.066,0.02,0.179,0.28,0.454
22103,0.031,0.073,0.074,0.211,0.611
22105,0.066,0.072,0.103,0.193,0.566
22107,0.081,0.064,0.097,0.134,0.625
22109,0.068,0.052,0.14,0.221,0.519
22111,0.071,0.142,0.106,0.244,0.436
22113,0.076,0.088,0.115,0.271,0.449
22115,0.092,0.066,0.145,0.244,0.453
22117,0.103,0.046,0.148,0.242,0.461
22119,0.134,0.044,0.063,0.265,0.494
22121,0.044,0.04,0.07,0.197,0.649
22123,0.022,0.063,0.124,0.114,0.677
22125,0.072,0.13,0.037,0.265,0.496
22127,0.086,0.106,0.13,0.236,0.443
23001,0.083,0.099,0.041,0.199,0.577
23003,0.143,0.047,0.12,0.243,0.447
23005,0.05,0.053,0.046,0.182,0.669
23007,0.006,0.063,0.191,0.161,0.579
23009,0.034,0.052,0.118,0.202,0.594
23011,0.016,0.074,0.125,0.245,0.54
23013,0.007,0.01,0.111,0.248,0.625
23015,0.031,0.014,0.065,0.204,0.688
23017,0.069,0.065,0.064,0.213,0.589
23019,0.038,0.071,0.085,0.189,0.617
23021,0.062,0.146,0.123,0.189,0.479
23023,0.061,0.026,0.033,0.216,0.664
23025,0.035,0.095,0.142,0.17,0.558
23027,0.023,0.06,0.15,0.182,0.585
23029,0.026,0.032,0.126,0.204,0.612
23031,0.076,0.036,0.061,0.173,0.655
24001,0.007,0.01,0.035,0.213,0.736
24003,0.018,0.022,0.067,0.154,0.739
24005,0.013,0.024,0.043,0.142,0.777
24009,0.049,0.049,0.071,0.11,0.72
24011,0.009,0.019,0.033,0.168,0.77
24013,0.014,0.008,0.062,0.17,0.746
24015,0.009,0.018,0.054,0.182,0.738
24017,0.035,0.034,0.107,0.157,0.667
24019,0.02,0.006,0.011,0.119,0.844
24021,0.028,0.036,0.062,0.113,0.762
24023,0.077,0.008,0.04,0.305,0.571
24025,0.008,0.009,0.037,0.168,0.778
24027,0.024,0.015,0.067,0.17,0.723
24029,0.005,0.014,0.06,0.207,0.714
24031,0.025,0.029,0.041,0.128,0.777
24033,0.087,0.034,0.064,0.094,0.72
24035,0.002,0.042,0.041,0.309,0.605
24037,0.04,0.009,0.036,0.152,0.763
