county,state,population2013,Core_Based_Statistical_Area
Autauga,Alabama,55246,"Montgomery, AL Metropolitan Statistical Area"
Baldwin,Alabama,195540,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
Barbour,Alabama,27076,
Bibb,Alabama,22512,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Blount,Alabama,57872,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Bullock,Alabama,10639,
Butler,Alabama,20265,
Calhoun,Alabama,116736,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
Chambers,Alabama,34162,"Valley, AL Micropolitan Statistical Area"
Cherokee,Alabama,26203,
Chilton,Alabama,43951,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Choctaw,Alabama,13426,
Clarke,Alabama,25207,
Clay,Alabama,13486,
Cleburne,Alabama,14994,
Coffee,Alabama,50938,"Enterprise, AL Micropolitan Statistical Area"
Colbert,Alabama,54520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Conecuh,Alabama,12887,
Coosa,Alabama,10898,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
Covington,Alabama,37886,
Crenshaw,Alabama,13986,
Cullman,Alabama,80811,"Cullman, AL Micropolitan Statistical Area"
Dale,Alabama,49884,"Ozark, AL Micropolitan Statistical Area"
Dallas,Alabama,41996,"Selma, AL Micropolitan Statistical Area"
DeKalb,Alabama,71013,
Elmore,Alabama,80902,"Montgomery, AL Metropolitan Statistical Area"
Escambia,Alabama,37983,
Etowah,Alabama,103931,"Gadsden, AL Metropolitan Statistical Area"
Fayette,Alabama,16909,
Franklin,Alabama,31532,
Geneva,Alabama,26727,"Dothan, AL Metropolitan Statistical Area"
Greene,Alabama,8744,
Hale,Alabama,15406,"Tuscaloosa, AL Metropolitan Statistical Area"
Henry,Alabama,17296,"Dothan, AL Metropolitan Statistical Area"
Houston,Alabama,103668,"Dothan, AL Metropolitan Statistical Area"
Jackson,Alabama,52951,"Scottsboro, AL Micropolitan Statistical Area"
Jefferson,Alabama,659479,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Lamar,Alabama,14236,
Lauderdale,Alabama,92797,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Lawrence,Alabama,33587,"Decatur, AL Metropolitan Statistical Area"
Lee,Alabama,150933,"Auburn-Opelika, AL Metropolitan Statistical Area"
Limestone,Alabama,88845,"Huntsville, AL Metropolitan Statistical Area"
Lowndes,Alabama,10703,"Montgomery, AL Metropolitan Statistical Area"
Macon,Alabama,19688,
Madison,Alabama,346892,"Huntsville, AL Metropolitan Statistical Area"
Marengo,Alabama,20155,
Marion,Alabama,30334,
Marshall,Alabama,94760,"Albertville, AL Micropolitan Statistical Area"
Mobile,Alabama,414079,"Mobile, AL Metropolitan Statistical Area"
Monroe,Alabama,22236,
Montgomery,Alabama,226659,"Montgomery, AL Metropolitan Statistical Area"
Morgan,Alabama,119787,"Decatur, AL Metropolitan Statistical Area"
Perry,Alabama,10020,
Pickens,Alabama,19401,"Tuscaloosa, AL Metropolitan Statistical Area"
Pike,Alabama,33339,"Troy, AL Micropolitan Statistical Area"
Randolph,Alabama,22727,
Russell,Alabama,59585,"Columbus, GA-AL Metropolitan Statistical Area"
St. Clair,Alabama,86308,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Shelby,Alabama,204180,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Sumter,Alabama,13361,
Talladega,Alabama,81096,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
Tallapoosa,Alabama,41203,
Tuscaloosa,Alabama,200821,"Tuscaloosa, AL Metropolitan Statistical Area"
Walker,Alabama,65998,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Washington,Alabama,16877,
Wilcox,Alabama,11307,
Winston,Alabama,24146,
Aleutians East Borough,Alaska,3092,
Aleutians West Census Area,Alaska,5511,
"Anchorage, Municipality of",Alaska,300950,"Anchorage, AK Metropolitan Statistical Area"
Bethel Census Area,Alaska,17758,
Bristol Bay Borough,Alaska,960,
Chugach Census Area,Alaska,6734,
Copper River Census Area,Alaska,2764,
Denali Borough,Alaska,1867,
Dillingham Census Area,Alaska,5010,
Fairbanks North Star Borough,Alaska,100436,"Fairbanks, AK Metropolitan Statistical Area"
Haines Borough,Alaska,2592,
Hoonah–Angoon Census Area,Alaska,2145,
"Juneau, City and Borough of",Alaska,32660,"Juneau, AK Micropolitan Statistical Area"
Kenai Peninsula Borough,Alaska,57147,
Ketchikan Gateway Borough,Alaska,13729,"Ketchikan, AK Micropolitan Statistical Area"
Kodiak Island Borough,Alaska,14135,
Kusilvak Census Area,Alaska,7977,
Lake and Peninsula Borough,Alaska,1648,
Matanuska-Susitna Borough,Alaska,95192,"Anchorage, AK Metropolitan Statistical Area"
Nome Census Area,Alaska,9892,
North Slope Borough,Alaska,9686,
Northwest Arctic Borough,Alaska,7685,
Petersburg Borough,Alaska,3774,
Prince of Wales – Hyder Census Area,Alaska,5786,
"Sitka, City and Borough of",Alaska,9020,
"Skagway, Municipality of",Alaska,995,
Southeast Fairbanks Census Area,Alaska,6985,
"Wrangell, City and Borough of",Alaska,2400,
"Yakutat, City and Borough of",Alaska,642,
Yukon–Koyukuk Census Area,Alaska,5695,
Eastern District,American Samoa,23030,
Manu'a District,American Samoa,1143,
Rose Atoll (Rose Island),American Samoa,0,
Swains Island,American Samoa,17,
Western District,American Samoa,31329,
Apache,Arizona,71934,
Cochise,Arizona,129473,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
Coconino,Arizona,136539,"Flagstaff, AZ Metropolitan Statistical Area"
Gila,Arizona,53053,"Payson, AZ Micropolitan Statistical Area"
Graham,Arizona,37482,"Safford, AZ Micropolitan Statistical Area"
Greenlee,Arizona,9049,
La Paz,Arizona,20324,
Maricopa,Arizona,4009412,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Mohave,Arizona,203030,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
Navajo,Arizona,107322,"Show Low, AZ Micropolitan Statistical Area"
Pima,Arizona,996554,"Tucson, AZ Metropolitan Statistical Area"
Pinal,Arizona,389350,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Santa Cruz,Arizona,46768,"Nogales, AZ Micropolitan Statistical Area"
Yavapai,Arizona,215133,"Prescott, AZ Metropolitan Statistical Area"
Yuma,Arizona,201201,"Yuma, AZ Metropolitan Statistical Area"
Arkansas,Arkansas,18777,
Ashley,Arkansas,21283,
Baxter,Arkansas,40957,"Mountain Home, AR Micropolitan Statistical Area"
Benton,Arkansas,237297,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Boone,Arkansas,37396,"Harrison, AR Micropolitan Statistical Area"
Bradley,Arkansas,11249,
Calhoun,Arkansas,5241,"Camden, AR Micropolitan Statistical Area"
Carroll,Arkansas,27808,
Chicot,Arkansas,11335,
Clark,Arkansas,22743,"Arkadelphia, AR Micropolitan Statistical Area"
Clay,Arkansas,15402,
Cleburne,Arkansas,25686,
Cleveland,Arkansas,8593,"Pine Bluff, AR Metropolitan Statistical Area"
Columbia,Arkansas,24164,"Magnolia, AR Micropolitan Statistical Area"
Conway,Arkansas,21245,
Craighead,Arkansas,101488,"Jonesboro, AR Metropolitan Statistical Area"
Crawford,Arkansas,61640,"Fort Smith, AR-OK Metropolitan Statistical Area"
Crittenden,Arkansas,49746,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Cross,Arkansas,17548,
Dallas,Arkansas,7933,
Desha,Arkansas,12505,
Drew,Arkansas,18785,
Faulkner,Arkansas,119580,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Franklin,Arkansas,18034,
Fulton,Arkansas,12304,
Garland,Arkansas,97173,"Hot Springs, AR Metropolitan Statistical Area"
Grant,Arkansas,18019,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Greene,Arkansas,43097,"Paragould, AR Micropolitan Statistical Area"
Hempstead,Arkansas,22474,
Hot Spring,Arkansas,33500,"Malvern, AR Micropolitan Statistical Area"
Howard,Arkansas,13581,
Independence,Arkansas,36997,"Batesville, AR Micropolitan Statistical Area"
Izard,Arkansas,13368,
Jackson,Arkansas,17615,
Jefferson,Arkansas,73191,"Pine Bluff, AR Metropolitan Statistical Area"
Johnson,Arkansas,25846,
Lafayette,Arkansas,7252,
Lawrence,Arkansas,17011,
Lee,Arkansas,10015,
Lincoln,Arkansas,14031,"Pine Bluff, AR Metropolitan Statistical Area"
Little River,Arkansas,12730,"Texarkana, TX-AR Metropolitan Statistical Area"
Logan,Arkansas,22082,
Lonoke,Arkansas,70753,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Madison,Arkansas,15701,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Marion,Arkansas,16430,
Miller,Arkansas,43402,"Texarkana, TX-AR Metropolitan Statistical Area"
Mississippi,Arkansas,44765,"Blytheville, AR Micropolitan Statistical Area"
Monroe,Arkansas,7682,
Montgomery,Arkansas,9226,
Nevada,Arkansas,8799,
Newton,Arkansas,8064,"Harrison, AR Micropolitan Statistical Area"
Ouachita,Arkansas,25002,"Camden, AR Micropolitan Statistical Area"
Perry,Arkansas,10345,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Phillips,Arkansas,20399,"Helena-West Helena, AR Micropolitan Statistical Area"
Pike,Arkansas,11177,
Poinsett,Arkansas,24145,"Jonesboro, AR Metropolitan Statistical Area"
Polk,Arkansas,20406,
Pope,Arkansas,62547,"Russellville, AR Micropolitan Statistical Area"
Prairie,Arkansas,8374,
Pulaski,Arkansas,391284,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Randolph,Arkansas,17692,
St. Francis,Arkansas,27260,"Forrest City, AR Micropolitan Statistical Area"
Saline,Arkansas,114404,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Scott,Arkansas,10950,
Searcy,Arkansas,8023,
Sebastian,Arkansas,127342,"Fort Smith, AR-OK Metropolitan Statistical Area"
Sevier,Arkansas,17366,
Sharp,Arkansas,17049,
Stone,Arkansas,12581,
Union,Arkansas,40694,"El Dorado, AR Micropolitan Statistical Area"
Van Buren,Arkansas,16932,
Washington,Arkansas,216410,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
White,Arkansas,78483,"Searcy, AR Micropolitan Statistical Area"
Woodruff,Arkansas,7072,
Yell,Arkansas,21893,"Russellville, AR Micropolitan Statistical Area"
Alameda,California,1578891,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Alpine,California,1159,
Amador,California,36519,
Butte,California,222090,"Chico, CA Metropolitan Statistical Area"
Calaveras,California,44515,
Colusa,California,21358,
Contra Costa,California,1094205,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Del Norte,California,27873,"Crescent City, CA Micropolitan Statistical Area"
El Dorado,California,181737,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Fresno,California,955272,"Fresno, CA Metropolitan Statistical Area"
Glenn,California,27940,
Humboldt,California,134493,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area"
Imperial,California,176584,"El Centro, CA Metropolitan Statistical Area"
Inyo,California,18467,
Kern,California,864124,"Bakersfield, CA Metropolitan Statistical Area"
Kings,California,150960,"Hanford-Corcoran, CA Metropolitan Statistical Area"
Lake,California,63860,"Clearlake, CA Micropolitan Statistical Area"
Lassen,California,32163,"Susanville, CA Micropolitan Statistical Area"
Los Angeles,California,10017068,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Madera,California,152389,"Madera, CA Metropolitan Statistical Area"
Marin,California,258365,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Mariposa,California,17755,
Mendocino,California,87192,"Ukiah, CA Micropolitan Statistical Area"
Merced,California,263228,"Merced, CA Metropolitan Statistical Area"
Modoc,California,9147,
Mono,California,14074,
Monterey,California,428826,"Salinas, CA Metropolitan Statistical Area"
Napa,California,140326,"Napa, CA Metropolitan Statistical Area"
Nevada,California,98200,"Truckee-Grass Valley, CA Micropolitan Statistical Area"
Orange,California,3114363,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Placer,California,367309,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Plumas,California,18859,
Riverside,California,2292507,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
Sacramento,California,1462131,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
San Benito,California,57600,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
San Bernardino,California,2088371,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
San Diego,California,3211252,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
"San Francisco, City and County of",California,837442,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
San Joaquin,California,704379,"Stockton-Lodi, CA Metropolitan Statistical Area"
San Luis Obispo,California,276443,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
San Mateo,California,747373,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Santa Barbara,California,435697,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
Santa Clara,California,1862041,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
Santa Cruz,California,269419,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
Shasta,California,178980,"Redding, CA Metropolitan Statistical Area"
Sierra,California,3047,
Siskiyou,California,43799,
Solano,California,424788,"Vallejo-Fairfield, CA Metropolitan Statistical Area"
Sonoma,California,495025,"Santa Rosa, CA Metropolitan Statistical Area"
Stanislaus,California,525491,"Modesto, CA Metropolitan Statistical Area"
Sutter,California,95350,"Yuba City, CA Metropolitan Statistical Area"
Tehama,California,63057,"Red Bluff, CA Micropolitan Statistical Area"
Trinity,California,13448,
Tulare,California,454143,"Visalia-Porterville, CA Metropolitan Statistical Area"
Tuolumne,California,53874,"Sonora, CA Micropolitan Statistical Area"
Ventura,California,839620,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
Yolo,California,204593,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Yuba,California,73340,"Yuba City, CA Metropolitan Statistical Area"
Adams,Colorado,469193,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Alamosa,Colorado,16253,
Arapahoe,Colorado,607070,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Archuleta,Colorado,12194,
Baca,Colorado,3682,
Bent,Colorado,5688,
Boulder,Colorado,310048,"Boulder, CO Metropolitan Statistical Area"
"Broomfield, City and County of",Colorado,59471,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Chaffee,Colorado,18510,
Cheyenne,Colorado,1890,
Clear Creek,Colorado,9031,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Conejos,Colorado,8277,
Costilla,Colorado,3518,
Crowley,Colorado,5322,
Custer,Colorado,4285,
Delta,Colorado,30483,
"Denver, City and County of",Colorado,649495,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Dolores,Colorado,2029,
Douglas,Colorado,305963,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Eagle,Colorado,52460,"Edwards, CO Micropolitan Statistical Area"
Elbert,Colorado,23733,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
El Paso,Colorado,655044,"Colorado Springs, CO Metropolitan Statistical Area"
Fremont,Colorado,46451,"Cañon City, CO Micropolitan Statistical Area"
Garfield,Colorado,57302,"Glenwood Springs, CO Micropolitan Statistical Area"
Gilpin,Colorado,5601,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Grand,Colorado,14289,
Gunnison,Colorado,15507,
Hinsdale,Colorado,813,
Huerfano,Colorado,6519,
Jackson,Colorado,1365,
Jefferson,Colorado,551798,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Kiowa,Colorado,1423,
Kit Carson,Colorado,8037,
Lake,Colorado,7306,
La Plata,Colorado,53284,"Durango, CO Micropolitan Statistical Area"
Larimer,Colorado,315988,"Fort Collins, CO Metropolitan Statistical Area"
Las Animas,Colorado,14446,
Lincoln,Colorado,5430,
Logan,Colorado,22450,"Sterling, CO Micropolitan Statistical Area"
Mesa,Colorado,147554,"Grand Junction, CO Metropolitan Statistical Area"
Mineral,Colorado,721,
Moffat,Colorado,13103,"Craig, CO Micropolitan Statistical Area"
Montezuma,Colorado,25642,
Montrose,Colorado,40713,"Montrose, CO Micropolitan Statistical Area"
Morgan,Colorado,28404,"Fort Morgan, CO Micropolitan Statistical Area"
Otero,Colorado,18703,
Ouray,Colorado,4557,
Park,Colorado,16121,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Phillips,Colorado,4356,
Pitkin,Colorado,17379,"Glenwood Springs, CO Micropolitan Statistical Area"
Prowers,Colorado,12291,
Pueblo,Colorado,161451,"Pueblo, CO Metropolitan Statistical Area"
Rio Blanco,Colorado,6807,
Rio Grande,Colorado,11803,
Routt,Colorado,23513,"Steamboat Springs, CO Micropolitan Statistical Area"
Saguache,Colorado,6208,
San Juan,Colorado,692,
San Miguel,Colorado,7678,
Sedgwick,Colorado,2360,
Summit,Colorado,28649,"Breckenridge, CO Micropolitan Statistical Area"
Teller,Colorado,23275,"Colorado Springs, CO Metropolitan Statistical Area"
Washington,Colorado,4803,
Weld,Colorado,269785,"Greeley, CO Metropolitan Statistical Area"
Yuma,Colorado,10151,
Fairfield,Connecticut,939904,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area"
Hartford,Connecticut,898272,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Litchfield,Connecticut,186924,"Torrington, CT Micropolitan Statistical Area"
Middlesex,Connecticut,165562,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
New Haven,Connecticut,862287,"New Haven-Milford, CT Metropolitan Statistical Area"
New London,Connecticut,274150,"Norwich-New London, CT Metropolitan Statistical Area"
Tolland,Connecticut,151377,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Windham,Connecticut,117604,"Worcester, MA-CT Metropolitan Statistical Area"
Kent,Delaware,169416,"Dover, DE Metropolitan Statistical Area"
New Castle,Delaware,549684,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Sussex,Delaware,206649,"Salisbury, MD-DE Metropolitan Statistical Area"
District of Columbia,District of Columbia,646449,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Alachua,Florida,253451,"Gainesville, FL Metropolitan Statistical Area"
Baker,Florida,27013,"Jacksonville, FL Metropolitan Statistical Area"
Bay,Florida,174987,"Panama City, FL Metropolitan Statistical Area"
Bradford,Florida,26850,
Brevard,Florida,550823,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area"
Broward,Florida,1838844,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Calhoun,Florida,14682,
Charlotte,Florida,164736,"Punta Gorda, FL Metropolitan Statistical Area"
Citrus,Florida,139271,"Homosassa Springs, FL Metropolitan Statistical Area"
Clay,Florida,196399,"Jacksonville, FL Metropolitan Statistical Area"
Collier,Florida,339642,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area"
Columbia,Florida,67543,"Lake City, FL Micropolitan Statistical Area"
DeSoto,Florida,34517,"Arcadia, FL Micropolitan Statistical Area"
Dixie,Florida,15940,
Duval,Florida,885855,"Jacksonville, FL Metropolitan Statistical Area"
Escambia,Florida,305817,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Flagler,Florida,99956,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Franklin,Florida,11598,
Gadsden,Florida,46194,"Tallahassee, FL Metropolitan Statistical Area"
Gilchrist,Florida,16931,"Gainesville, FL Metropolitan Statistical Area"
Glades,Florida,13345,
Gulf,Florida,15829,"Panama City, FL Metropolitan Statistical Area"
Hamilton,Florida,14354,
Hardee,Florida,27519,"Wauchula, FL Micropolitan Statistical Area"
Hendry,Florida,37471,"Clewiston, FL Micropolitan Statistical Area"
Hernando,Florida,174441,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Highlands,Florida,97616,"Sebring, FL Metropolitan Statistical Area"
Hillsborough,Florida,1291578,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Holmes,Florida,19717,
Indian River,Florida,141994,"Sebastian-Vero Beach, FL Metropolitan Statistical Area"
Jackson,Florida,48922,
Jefferson,Florida,14194,"Tallahassee, FL Metropolitan Statistical Area"
Lafayette,Florida,8848,
Lake,Florida,308034,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Lee,Florida,661115,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area"
Leon,Florida,281845,"Tallahassee, FL Metropolitan Statistical Area"
Levy,Florida,39644,
Liberty,Florida,8349,
Madison,Florida,18728,
Manatee,Florida,342106,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Marion,Florida,337362,"Ocala, FL Metropolitan Statistical Area"
Martin,Florida,151263,"Port St. Lucie, FL Metropolitan Statistical Area"
Miami-Dade,Florida,2617176,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Monroe,Florida,76351,"Key West, FL Micropolitan Statistical Area"
Nassau,Florida,75710,"Jacksonville, FL Metropolitan Statistical Area"
Okaloosa,Florida,193811,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Okeechobee,Florida,39330,"Okeechobee, FL Micropolitan Statistical Area"
Orange,Florida,1225267,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Osceola,Florida,298504,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Palm Beach,Florida,1372171,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Pasco,Florida,475502,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Pinellas,Florida,929048,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Polk,Florida,623009,"Lakeland-Winter Haven, FL Metropolitan Statistical Area"
Putnam,Florida,72577,"Palatka, FL Micropolitan Statistical Area"
St. Johns,Florida,209647,"Jacksonville, FL Metropolitan Statistical Area"
St. Lucie,Florida,286832,"Port St. Lucie, FL Metropolitan Statistical Area"
Santa Rosa,Florida,161096,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Sarasota,Florida,390429,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Seminole,Florida,436041,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Sumter,Florida,107056,"The Villages, FL Metropolitan Statistical Area"
Suwannee,Florida,43734,
Taylor,Florida,22857,
Union,Florida,15136,
Volusia,Florida,500800,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Wakulla,Florida,31022,"Tallahassee, FL Metropolitan Statistical Area"
Walton,Florida,59807,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Washington,Florida,24624,
Appling,Georgia,18440,
Atkinson,Georgia,8290,
Bacon,Georgia,11216,
Baker,Georgia,3341,"Albany, GA Metropolitan Statistical Area"
Baldwin,Georgia,46039,"Milledgeville, GA Micropolitan Statistical Area"
Banks,Georgia,18415,
Barrow,Georgia,71453,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Bartow,Georgia,101273,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Ben Hill,Georgia,17515,"Fitzgerald, GA Micropolitan Statistical Area"
Berrien,Georgia,19048,
Bibb,Georgia,154721,"Macon, GA Metropolitan Statistical Area"
Bleckley,Georgia,12771,
Brantley,Georgia,18292,"Brunswick, GA Metropolitan Statistical Area"
Brooks,Georgia,15516,"Valdosta, GA Metropolitan Statistical Area"
Bryan,Georgia,33157,"Savannah, GA Metropolitan Statistical Area"
Bulloch,Georgia,71214,"Statesboro, GA Micropolitan Statistical Area"
Burke,Georgia,22923,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Butts,Georgia,23361,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Calhoun,Georgia,6523,
Camden,Georgia,51476,"St. Marys, GA Micropolitan Statistical Area"
Candler,Georgia,10937,
Carroll,Georgia,112355,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Catoosa,Georgia,65311,"Chattanooga, TN-GA Metropolitan Statistical Area"
Charlton,Georgia,13255,
Chatham,Georgia,278434,"Savannah, GA Metropolitan Statistical Area"
Chattahoochee,Georgia,12842,"Columbus, GA-AL Metropolitan Statistical Area"
Chattooga,Georgia,25138,"Summerville, GA Micropolitan Statistical Area"
Cherokee,Georgia,225106,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clarke,Georgia,121265,"Athens-Clarke County, GA Metropolitan Statistical Area"
Clay,Georgia,3045,
Clayton,Georgia,264220,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clinch,Georgia,6795,
Cobb,Georgia,717190,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Coffee,Georgia,43220,"Douglas, GA Micropolitan Statistical Area"
Colquitt,Georgia,46275,"Moultrie, GA Micropolitan Statistical Area"
Columbia,Georgia,135416,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Cook,Georgia,17066,
Coweta,Georgia,133180,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Crawford,Georgia,12504,"Macon, GA Metropolitan Statistical Area"
Crisp,Georgia,23336,"Cordele, GA Micropolitan Statistical Area"
Dade,Georgia,16507,"Chattanooga, TN-GA Metropolitan Statistical Area"
Dawson,Georgia,22686,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Decatur,Georgia,27359,"Bainbridge, GA Micropolitan Statistical Area"
DeKalb,Georgia,713340,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Dodge,Georgia,21221,
Dooly,Georgia,14304,
Dougherty,Georgia,92969,"Albany, GA Metropolitan Statistical Area"
Douglas,Georgia,136379,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Early,Georgia,10542,
Echols,Georgia,4057,"Valdosta, GA Metropolitan Statistical Area"
Effingham,Georgia,54456,"Savannah, GA Metropolitan Statistical Area"
Elbert,Georgia,19599,
Emanuel,Georgia,22867,
Evans,Georgia,10833,
Fannin,Georgia,23760,
Fayette,Georgia,108365,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Floyd,Georgia,95821,"Rome, GA Metropolitan Statistical Area"
Forsyth,Georgia,195405,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Franklin,Georgia,22009,
Fulton,Georgia,1010562,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Gilmer,Georgia,28579,
Glascock,Georgia,3102,
Glynn,Georgia,81508,"Brunswick, GA Metropolitan Statistical Area"
Gordon,Georgia,55757,"Calhoun, GA Micropolitan Statistical Area"
Grady,Georgia,25278,
Greene,Georgia,16321,
Gwinnett,Georgia,859304,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Habersham,Georgia,43300,"Cornelia, GA Micropolitan Statistical Area"
Hall,Georgia,187745,"Gainesville, GA Metropolitan Statistical Area"
Hancock,Georgia,8879,"Milledgeville, GA Micropolitan Statistical Area"
Haralson,Georgia,28495,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Harris,Georgia,32663,"Columbus, GA-AL Metropolitan Statistical Area"
